,0,uGraph_2,uGraph_3,uGraph_4
16,1.83509503256,3.46579753617,5.09852343574,6.53824286035
32,2.02082074408,5.00960547871,8.75678318378,11.856781216
64,2.99250934038,7.55421546106,14.2444862814,20.4603846772
128,3.09048143992,10.9587681942,22.8116002969,34.0439495105
256,3.91186870409,15.8208019972,35.5696444646,57.4446617326
512,4.78454821315,22.9810681751,57.2254915965,96.8002043122
1024,5.35047812186,33.1947287526,90.5593379769,160.854964463
2048,6.05397615114,46.6600428256,141.837524458,267.084145698
4096,6.96035887863,66.4765728868,223.903309738,446.24716133
8192,8.04500826841,93.8388738147,355.951415351,744.946556281
16384,9.26315673399,132.783835119,561.637842303,1247.0037541
